1,50,1,0.913602,9.13473,
2,50,2,0.916189,25.6235,
3,50,3,0.918797,41.2406,
4,50,4,0.921427,55.9812,
5,50,5,0.924079,70.7642,
6,50,6,0.926753,85.5899,
7,50,7,0.929448,100.459,
8,50,8,0.932164,115.371,
9,50,9,0.934902,130.327,
10,50,0,1.94416,27.2047,
11,50,1,1.9498,58.3962,
12,50,2,1.9555,89.6788,
13,50,3,1.96123,121.053,
14,50,4,1.96702,144.653,
15,50,5,1.97285,168.323,
16,50,6,1.97872,192.063,
17,50,7,1.98464,215.874,
18,50,8,1.99061,243.736,
19,50,9,1.99662,271.681,
20,50,0,3.93838,47.235,
21,50,1,3.9501,102.523,
22,50,2,3.96192,157.976,
23,50,3,3.97382,213.595,
24,50,4,3.98581,269.383,
25,50,5,3.9979,325.339,
26,50,6,4.01007,381.466,
27,50,7,4.02234,449.824,
28,50,8,4.0347,518.392,
29,50,9,4.04715,587.171,
30,50,0,7.83277,125.251,
31,50,1,7.85664,266.625,
32,50,2,7.88068,408.431,
33,50,3,7.9049,550.672,
34,50,4,7.92929,693.353,
35,50,5,7.95387,820.572,
36,50,6,7.97862,948.187,
37,50,7,8.00356,1076.2,
38,50,8,8.02867,1204.62,
39,50,9,8.05395,1333.44,
40,50,0,15.8776,222.155,
41,50,1,15.927,476.903,
42,50,2,15.9767,732.446,
43,50,3,16.0268,988.79,
44,50,4,16.0773,1245.94,
45,50,5,16.1281,1503.9,
46,50,6,16.1792,1762.68,
47,50,7,16.2308,2022.29,
48,50,8,16.2826,2282.72,
49,50,9,16.3349,2543.99,
50,50,0,32.2096,450.669,
51,50,1,32.3118,967.487,
52,50,2,32.4147,1485.95,
53,50,3,32.5184,2006.07,
54,50,4,32.6227,2527.86,
55,50,5,32.7278,2985.87,
56,50,6,32.8336,3445.36,
57,50,7,32.94,3939.27,
58,50,8,33.0473,4467.83,
59,50,9,33.1552,4931.8,
60,50,0,65.7674,788.694,
61,50,1,65.98,1712.02,
62,50,2,66.194,2638.33,
63,50,3,66.4095,3567.66,
64,50,4,66.6264,4500.02,
65,50,5,66.8447,5435.44,
66,50,6,67.0644,6440.99,
67,50,7,67.2856,7517.15,
68,50,8,67.5083,8664.38,
69,50,9,67.7324,9747.68,
70,50,0,133.562,2135.75,
71,50,1,134.002,4546.98,
72,50,2,134.444,6966.18,
73,50,3,134.889,9393.38,
74,50,4,135.337,11828.7,
75,50,5,135.788,14272,
76,50,6,136.242,16723.6,
77,50,7,136.699,19183.3,
78,50,8,137.159,21651.4,
79,50,9,137.621,24127.7,
80,50,0,271.155,4335.94,
81,50,1,272.062,9231.44,
82,50,2,272.975,14143.4,
83,50,3,273.893,19071.8,
84,50,4,274.818,24016.9,
85,50,5,275.748,28978.7,
86,50,6,276.684,33957.3,
87,50,7,277.626,38952.9,
88,50,8,278.573,43965.6,
89,50,9,279.527,48995.4,
90,50,0,550.626,8804.87,
91,50,1,552.497,18746.5,
92,50,2,554.379,28722,
93,50,3,556.273,38731.6,
94,50,4,558.178,48775.4,
95,50,5,560.095,58853.7,
96,50,6,562.024,68966.8,
97,50,7,563.964,79114.7,
98,50,8,565.916,89297.8,
99,50,9,567.879,99516.2,
100,50,0,1118.4,17883.9,
101,50,1,1122.25,35834,
102,50,2,1126.13,51595.6,
103,50,3,1130.03,67411.7,
104,50,4,1133.96,83282.7,
105,50,5,1137.91,99209,
106,50,6,1141.88,115191,
107,50,7,1145.87,131229,
108,50,8,1149.89,147323,
109,50,9,1153.93,163473,
110,50,0,2271.09,27237.9,
111,50,1,2279.02,59135.3,
112,50,2,2287,91144.5,
113,50,3,2295.02,123266,
114,50,4,2303.1,155500,
115,50,5,2311.22,187848,
116,50,6,2319.38,220311,
117,50,7,2327.59,252888,
118,50,8,2335.86,285581,
119,50,9,2344.16,318390,
120,50,0,4615.65,55356.9,
121,50,1,4631.98,129451,
122,50,2,4648.4,203808,
